number,value,datetime_start,datetime_complete,duration,params_dense_units,params_dropout,params_learning_rate,state
0,0.8580645322799683,2025-09-12 06:35:15.835242,2025-09-12 06:45:45.421055,0 days 00:10:29.585813,64,0.25,0.00015751320499779721,COMPLETE
1,0.7774193286895752,2025-09-12 06:45:45.423034,2025-09-12 06:56:04.107569,0 days 00:10:18.684535,64,0.15000000000000002,0.0005399484409787432,COMPLETE
2,0.6612903475761414,2025-09-12 06:56:04.109890,2025-09-12 07:06:24.972711,0 days 00:10:20.862821,64,0.35,0.0008706020878304854,COMPLETE
3,0.8806451559066772,2025-09-12 07:06:24.975081,2025-09-12 07:16:52.050611,0 days 00:10:27.075530,64,0.45000000000000007,2.3270677083837777e-05,COMPLETE
4,0.8677419424057007,2025-09-12 07:16:52.053054,2025-09-12 07:27:25.836783,0 days 00:10:33.783729,64,0.2,3.8234752246751835e-05,COMPLETE
5,0.012903225608170033,2025-09-12 07:27:25.839178,2025-09-12 07:30:48.358657,0 days 00:03:22.519479,512,0.35,5.4041038546473305e-05,PRUNED
6,0.019354838877916336,2025-09-12 07:30:48.360699,2025-09-12 07:34:06.930958,0 days 00:03:18.570259,64,0.30000000000000004,0.00010677482709481354,PRUNED
7,0.019354838877916336,2025-09-12 07:34:06.933274,2025-09-12 07:37:29.118125,0 days 00:03:22.184851,512,0.35,2.1930485556643678e-05,PRUNED
8,0.08709677308797836,2025-09-12 07:37:29.124883,2025-09-12 07:41:51.759126,0 days 00:04:22.634243,512,0.1,0.0004138040112561013,PRUNED
9,0.022580645978450775,2025-09-12 07:41:51.761445,2025-09-12 07:45:19.425388,0 days 00:03:27.663943,512,0.2,7.591104805282687e-05,PRUNED
